NumOfWorkers,20.000T_Citus,20.000T_Yugabyte,40.000T_Citus,40.000T_Yugabyte,60.000T_Citus,60.000T_Yugabyte,80.000T_Citus,80.000T_Yugabyte,100.000T_Citus,100.000T_Yugabyte
3,1123.76647,721.554942,1292.367022,673.281852,1226.427627,692.448094,1262.852723,688.156125,1310.095712,675.655748
5,1044.192579,469.197094,1165.796793,520.186345,1182.77662,552.517614,1206.697272,553.977984,1203.784921,534.332204
7,958.088009,445.251131,1077.533753,479.992485,1094.664666,486.10287,1028.940495,478.171647,1015.98403,480.59383
